,Countries,Total Cases,Todays Cases,Total Deaths
1,China,"81,054",+46,"3,261"
2,Italy,"53,578",,"4,825"
3,USA,"26,888","+2,681",348
4,Spain,"25,496",,"1,381"
5,Germany,"22,364",,84
6,Iran,"20,610",,"1,556"
7,France,"14,459",,562
8,S. Korea,"8,897",+98,104
9,Switzerland,"6,863",,80
10,UK,"5,018",,233
11,Netherlands,"3,631",,136
12,Austria,"3,024",+32,8
13,Belgium,"2,815",,67
14,Norway,"2,164",,7
15,Sweden,"1,770",,20
16,Canada,"1,328",,19
17,Denmark,"1,326",,13
18,Australia,"1,286",+214,7
19,Portugal,"1,280",,12
20,Malaysia,"1,183",,9
21,Brazil,"1,178",,18
22,Japan,"1,054",,36
23,Czechia,995,,
24,Turkey,947,,21
25,Israel,883,,1
26,Ireland,785,,3
27,Diamond Princess,712,,8
28,Luxembourg,670,,8
29,Pakistan,645,,3
30,Thailand,599,+188,1
31,Chile,537,,1
32,Poland,536,,5
33,Ecuador,532,,7
34,Greece,530,,13
35,Finland,523,,1
36,Qatar,481,,
37,Iceland,473,,1
38,Indonesia,450,,38
39,Singapore,432,,2
40,Saudi Arabia,392,,
41,Slovenia,383,,1
42,Philippines,380,+73,25
43,Romania,367,,
44,India,332,,5
45,Peru,318,,5
46,Bahrain,310,,1
47,Russia,306,,1
48,Estonia,306,,
49,Egypt,294,,10
50,Hong Kong,274,,4
51,Mexico,251,+48,2
52,Panama,245,,3
53,South Africa,240,,
54,Lebanon,230,,4
55,Argentina,225,+67,4
56,Iraq,214,,17
57,Colombia,210,+14,1
58,Croatia,206,,1
59,Armenia,190,+30,
60,Slovakia,178,,
61,Kuwait,176,,
62,Serbia,171,,1
63,Bulgaria,163,,3
64,San Marino,160,,20
65,Taiwan,153,,2
66,UAE,153,,2
67,Algeria,139,,15
68,Uruguay,135,+25,
69,Latvia,124,,
70,Costa Rica,117,,2
71,Dominican Republic,112,,3
72,Lithuania,105,+6,1
73,Hungary,103,,4
74,Jordan,100,,
75,Morocco,96,,3
76,Vietnam,94,,
77,Bosnia and Herzegovina,93,,1
78,Faeroe Islands,92,,
79,Andorra,88,,
80,North Macedonia,85,,
81,Cyprus,84,,1
82,Brunei ,83,,
83,Moldova,80,,1
84,Sri Lanka,77,,
85,Albania,76,,2
86,Belarus,76,,
87,Malta,73,,
88,Venezuela,70,,
89,New Zealand,66,+14,
